pid,title,country,place,subject,contentyear_start,contentyear_end,keyword
vecnet:z890rt694,Plasmodium falciparum incidence relative to entomologic inoculation rates at a site proposed for testing malaria vaccines in western Kenya,Kenya,Saradidi| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1986,1987,|||||||EIR|||||||||||||||Incidence||
vecnet:z890rt715,"Malaria sporozoite detection by dissection and ELISA to assess infectivity of Afrotropical Anopheles (Diptera, Culicidae)",Kenya,Kiaian| Kiumu | Saradidi| Bondo Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1985,1987,|||||||||||Sporozoite Rate|||||||||||||
vecnet:z890rt758,Field evaluation of an enzyme-linked immunosorbent assay (ELISA) for Plasmodium falciparum sporozoite detection in anopheline mosquitoes from Kenya,Kenya,Saradidi |  Tiengre| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1985,1985,|||||||||||Sporozoite Rate|||||||||||||
vecnet:z890rt77t,Identification of malaria species by ELISA in sporozoite and oocyst infected Anopheles from western Kenya,Kenya,Kiaian| Kiumu | Saradidi| Bondo Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1986,1986,|||||||||||Sporozoite Rate|||||||||||||
vecnet:z890rt79c,"Patterns of mitochondrial variation within and between African malaria vectors, Anopheles gambiae and An. arabiensis, suggest extensive gene flow",Kenya| Senegal,,Anopheles arabiensis| Anopheles gambiae ss,1987,1994,||Species Occurence|Species Composition|||||||||||||||||||||
vecnet:z890rt81d,"Longitudinal cohort study of the epidemiology of malaria infections in an area of intense malaria transmission I. Description of study site, general methodology, and study population",Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1992,1995,Intervention Coverage||||||||||||||||||||||||Weather
vecnet:z890rt83z,Population genetic structure of the African malaria mosquito Anopheles funestus in Kenya,Kenya,Majajani| Kilifi district and Magaoni| Kwale district| Siaya |Bondo district | Mbita| Suba district,Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,1997,2001,||Species Occurence|Species Composition|||||||||||||||||||||
vecnet:z890rt90c,Monooxygenase Levels and Knockdown Resistance (kdr) Allele Frequencies in Anopheles gambiae and Anopheles arabiensis in Kenya,Kenya,,Anopheles arabiensis| Anopheles gambiae ss,2005,2005,||||Larval Habitat||||||||||||||||Resistance||||
vecnet:z890rt961,Detection of human antibodies against Plasmodium falciparum antigens in blood meals of anopheline mosquitoes,Kenya,Kiaian| Kiumu |Saradidi| Bondo |  Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1988,1988,|||||||||||Sporozoite Rate|||||||||||||
vecnet:z890rv08m,"Evaluation of fenitrothion (OMS 43) for malaria control in a large-scale epidemiological trial, Kisumu, Kenya",Kenya,Kiaian| Kiumu andSaradidi| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1972,1976,|Intervention Efficacy||||||EIR|Host Seeking|||Sporozoite Rate|||Entry Rate | Exit Rate|Resting Habit|Gonotrophic Cycle|Parity|Adult Survivorship|||Prevalence|Incidence||Weather
vecnet:z890rv10n,Evaluation of fenitrothion for the control of malaria,Kenya,Kisian| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1972,1975,|Intervention Efficacy|||||||Host Seeking|||Sporozoite Rate||||||||||Prevalence|Incidence||
vecnet:z890rv14r,Gut content identification of larvae of the Anopheles gambiae complex in western Kenya using a barcoding approach,Kenya,Kisumu,Anopheles arabiensis| Anopheles gambiae ss,2006,2006,||||Larval Habitat||||||||||||||||||||
vecnet:z890rv151,Effect of permethrin-treated bed nets on the spatial distribution of malaria vectors in western Kenya,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus| Anopheles gambiae ss,1996,1997,|Intervention Efficacy|||||||Host Seeking|||Sporozoite Rate|||||||||||||
vecnet:z890rv194,Impact of permethrin-treated bed nets on entomologic indices in an area of intense year-round malaria transmission,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,1997,1999,|Intervention Efficacy||||||||||Sporozoite Rate|||Entry Rate | Exit Rate|Resting Habit|||||Resistance||||
vecnet:z890rv215,Field testing an enzyme-linked synthetic oligonucleotide probe for identification of Anopheles gambiae s.s. and An. arabiensis,Kenya,Kisian| Kisumu District| Nyanza Province,Anopheles arabiensis| Anopheles gambiae ss,1990,1991,|||Species Composition|||||||||||||||||||||
vecnet:z890rv23q,"Resting behaviour, ecology and genetics of malaria vectors in large scale agricultural areas of Western Kenya",Kenya,Ahero | Miwani| Muhoroni Division| Kombewa Sub-Location| Maseno Division| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles arabiensis| Anopheles gambiae ss,1988,1990,|||Species Composition|||||||||||Entry Rate | Exit Rate|Resting Habit|||||||||
vecnet:z890rv258,Origin of blood meals in indoor and outdoor resting malaria vectors in western Kenya,Kenya,Ahero | Miwani| Muhoroni Division| Kisian| Kisumu District| Nyanza Province,Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,1989,1990,|||||||||||||Human Blood Index||Resting Habit|||||||||
vecnet:z890rv27t,"The mosquito fauna and climate of native huts at Kisumu, Kenya",Kenya,Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles funestus| Anopheles coustani| Anopheles pharoensis,1940,1941,||||||||Host Seeking||Peak Biting Time||||Entry Rate | Exit Rate|Resting Habit||Parity|||||||Weather
vecnet:z890rv283,"Measurements of Temperature and Light in artificial Pools with Reference to the larval Habitat of Anopheles (Myzomyia) gambiae, Giles, and A. (M.) funestus, Giles",Kenya,Kisumu,Anopheles gambie sl| Anopheles funestus,1940,1940,||||Larval Habitat||||||||||||||||||||Weather
vecnet:z890rv29c,Community-wide effects of permethrin-treated bed nets on child mortality and malaria morbidity in Western Kenya,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1998,1998,|Intervention Efficacy||||||||||||||||||||Prevalence|||
vecnet:z890rv33z,A geographic information system applied to a malaria field study in western Kenya,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1995,1995,||||Larval Habitat||||Host Seeking|||||||||||||Prevalence|||
vecnet:z890rv372,Daily temperature profiles in and around Western Kenyan larval habitats of Anopheles gambiae as related to egg mortality,Kenya,Kisian| Kisumu district,Anopheles arabiensis| Anopheles gambiae ss,2005,2005,||||Larval Habitat|Duration Egg larval Pupal Stage|Immature Survivorship||||||||||||||||||Weather
vecnet:z890rv39m,A survey of species A and B of the Anopheles gambiae Giles complex in the Kisumu area of Kenya prior to insecticidal spraying with OMS-43 (fenitrothion),Kenya,Seme| Maseno Division| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles arabiensis| Anopheles gambiae ss,1972,1972,|Intervention Efficacy||Species Composition|||||Host Seeking|||Sporozoite Rate|Blood Feeding Rate|Human Blood Index||Resting Habit||Parity|||||||Weather
vecnet:z890rv41n,"The CDC battery-operated light trap for assessment of An. gambiae and An. funestus in a WHO stage VII insecticide trial, Kisumu, Kenya. WHO/VBC/75.578",Kenya,Seme| Maseno Division| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles funestus| Anopheles coustani| Anopheles pharoensis| Anopheles marshalli| Anopheles squamosus| Anopheles demeilloni| Anopheles nataliae| Anopheles maculipalpis| Anopheles pretoriensis| Anopheles rufipes| Anopheles theileri,1973,1974,|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy|||||||||||||||
vecnet:z890rv45r,Analysis of genetic variability in Anopheles arabiensis and Anopheles gambiae using microsatellite loci,Kenya,Asembo Bay| Ahero| Thika| Taveta| Malindi,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,1994,1996,|||Species Composition|||||||||||||||||||||
vecnet:z890rv49v,Effects of permethrin-treated bed nets on immunity to malaria in western Kenya II. Antibody responses in young children in an area of intense malaria transmission,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1997,1999,|Intervention Efficacy||||||||||||||||||||Prevalence|||
vecnet:z890rv51w,Effects of permethrin-treated bed nets on immunity to malaria in western Kenya I. Antibody responses in pregnant women and cord blood in an area of intense malaria transmission,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1997,1999,|Intervention Efficacy||||||||||||||||||||Prevalence|||
vecnet:z890rv71c,Permethrin-treated bed nets in the prevention of malaria and anemia in adolescent schoolgirls in western Kenya,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1998,1999,|||||||||||||||||||||Prevalence|Incidence||
vecnet:z890rv73x,Microgeographic structure of Anopheles gambiae in western Kenya based on mtDNA and microsatellite loci,Kenya,Asembo Bay| Bondo | Siaya District |Wathrego| Kisumu District| Nyanza Province,Anopheles gambiae ss,1994,1994,|||Species Composition|||||||||||||||||||||
vecnet:z890rv80b,Molecular evolution of immune genes in the malaria mosquito Anopheles gambiae,Kenya|nigeria|Senegal,Asembo Bay| Gwamlar| Barkedji ,Anopheles arabiensis| Anopheles gambiae ss| Anopheles quadriannulatus,1994,1999,|||Species Composition|||||||||||||||||||||
vecnet:z890rv84f,Impact of sustained use of insecticide-treated bednets on malaria vector species distribution and culicine mosquitoes,Kenya,Asembo Bay| Rarieda Division| Bondo | Siaya District | Seme| Maseno Division| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles arabiensis| Anopheles gambiae ss,1999,2009,|Intervention Efficacy||Species Composition||||||||Sporozoite Rate|Blood Feeding Rate|||Resting Habit|||||||||
vecnet:z890rv95z,Microgeographic variation in rDNA intergenic spacers of Anopheles gambiae in western Kenya,Kenya,Asembo Bay| Bama Creek| Wathrego| Ahero| Kisian| Nyakoch| Muhroni| Jego,Anopheles gambiae ss,1987,1987,|||Species Composition|||||||||||||||||||||
vecnet:z890rv97h,The effects of climatic factors on the distribution and abundance of malaria vectors in Kenya,Kenya,Yala River | Nyando River,Anopheles gambie sl| Anopheles arabiensis| Anopheles gambiae ss,2000,2000,|||||||||||||||Resting Habit|||||||||
vecnet:z890rv992,Exposure to holoendemic malaria results in elevated epstein-barr virus loads in children,Kenya,Kanyawegi| Kisumu District| Nyanza Province | Kipsamoite| Nandi District| Rift Valley Province,,2002,2002,|||||||||||||||||||||Prevalence|||
vecnet:z890rw01w,Ecological studies on Anopheles gambiae complex sibling species in Kenya. I. Preliminary observations on their geographical distribution and chromosomal polymorphic inversions,Kenya,,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss| Anopheles meras,1980,1980,||Species Occurence|Species Composition|||||||||||||||||||||
vecnet:z890rw03f,"Distribution, description, and local knowledge of larval habitats of Anopheles gambiae s.l. in a village in western Kenya",Kenya,Kisian| Kisumu District| Nyanza Province,Anopheles gambie sl,2002,2002,||||Larval Habitat||||||||||||||||||||
vecnet:z890rw068,Pupal habitat productivity of Anopheles gambiae complex mosquitoes in a rural village in western Kenya,Kenya,Kisian| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles arabiensis| Anopheles gambiae ss| Anopheles coustani,2002,2004,|||Species Composition|Larval Habitat||||||||||||||||||||
vecnet:z890rw114,Population dynamics of malaria vectors in western Kenya highlands,Kenya,Iguhu| Kakamega District | Mbale| Vihiga District |  Marani | Kisii District|  Kombewa| Kisumu District,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,2003,2004,|||Species Composition||||EIR||||Sporozoite Rate||||Resting Habit|||||||||
vecnet:z890rw16h,Field trial of permethrin impregnated sisal curtains in malaria control in western Kenya,Kenya,Rota | Kanyawegi | Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1991,1993,|Intervention Efficacy||||||EIR|Host Seeking|||Sporozoite Rate||||Resting Habit||||||Prevalence|||
vecnet:z890rw203,Impact of control measures on malaria transmission and general mortality,Kenya,Kisumu District| Nyanza Province,,1972,1975,|Intervention Efficacy||||||||||||||||||||Prevalence|Incidence||
vecnet:z890rw22n,Intraspecific chromosomal polymorphism in the Anopheles gambiae Complex as a factor affecting malaria transmission in the Kisumu area of Kenya,Kenya,Kiaian| Kiumu | Saradidi| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles arabiensis| Anopheles gambiae ss,1986,1987,||Species Occurence|Species Composition|||||||||||||||||||||
vecnet:z890rw378,A comparison of Anopheles gambiae and Plasmodium falciparum genetic structure over space and time,Kenya,Kapsulu| Kodera| Rangwe| Ringa| Rota |Sondu ,Anopheles gambiae ss,2002,2003,|||Species Composition||||||||||||Resting Habit|||||||||
vecnet:z890rw39t,"""Clonal"" population structure of the malaria agent Plasmodium falciparum in high-infection regions",Kenya,Kaptik| Serem| Got | Nyabondo| Kapsulu| Kajulu| Rota| Sondu| Ringa| Oyugis| Kodera| Rangwe ,Anopheles gambie sl,2002,2003,|||||||||||Sporozoite Rate||||Resting Habit|||||||||
vecnet:z890rw43d,Evidence for transmission of Plasmodium vivax among a duffy antigen negative population in Western Kenya,Kenya,Majenjeni| Malindi Division| Kilifi District| Coast Province| Kamonye| Maseno Division| Kisumu District| Nyanza Province,Anopheles funestus| Anopheles gambiae ss| Anopheles coustani| Anopheles pharoensis,1999,2000,||Species Occurence|Species Composition||||||||Sporozoite Rate|||||||||||||
vecnet:z890rw45z,DNA profiling of human blood in anophelines from lowland and highland sites in western Kenya,Kenya,Iguhu| Kakamega District | Kombewa| Kisumu District,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,2003,2004,||Species Occurence|Species Composition|||||||||Blood Feeding Rate||||||||||||
vecnet:z890rw47h,Permethrin-impregnated curtains and bed-nets prevent malaria in western Kenya,Kenya,Uriri| Yala Division| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1988,1988,|Intervention Efficacy||||||||||Sporozoite Rate||||Resting Habit|||||||Incidence||
vecnet:z890rw50t,Field efficacy of thermally expelled or live potted repellent plants against African malaria vectors in western Kenya,Kenya,Lwanda village| Maseno Division| Kisumu District| Nyanza Province,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,2001,2002,|Intervention Efficacy||Species Composition|||||||||||||||||||||
vecnet:z890rw581,The effects of varying exposure to malaria transmission on development of antimalarial antibody responses in preschool children. XVI. Asembo Bay Cohort Project,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus,1992,1995,|||||||EIR||||||||||||||Prevalence|Incidence||
vecnet:z890rw602,Relation between severe malaria morbidity in children and level of Plasmodium falciparum transmission in Africa,Kenya| Gambia,Siaya District | Kilifi District | ,,1990,1996,|||||||||||||||||||||Prevalence|Incidence||
vecnet:z890rw69j,"Changing response to chloroquine of Plasmodium falciparum in Saradidi, Kenya, from 1981 to 1984",Kenya,Saradidi| Bondo | Siaya District| Nyanza Province,,1981,1984,|||||||||||||||||||||||Treatment Efficacy|
vecnet:z890rw734,"In vivo response of Plasmodium falciparum to chloroquine in pregnant and non-pregnant women in Siaya District, Kenya",Kenya,Siaya |Bondo District| Nyanza Province,,1986,1986,|||||||||||||||||||||||Treatment Efficacy|
vecnet:z890rw75p,Dynamics of the pyrethroid knockdown resistance allele in western Kenyan populations of Anopheles gambiae in response to insecticide-treated bed net trials,Kenya,Asembo| Kisian| Wathorego| Ahero| Nyakach| Muhoroni| Jego| Vanga,Anopheles gambiae ss,1987,2002,||||||||||||||||||||Resistance||||
vecnet:z890rw78h,"Plasmodium falciparum infection rates in Anopheles gambiae, An. arabiensis, and An. funestus in western Kenya",Kenya,Asembo Bay| Bondo Siaya District| Nyanza Province,Anopheles gambie sl| Anopheles funestus| Anopheles arabiensis| Anopheles gambiae ss,1988,1989,||Species Occurence|Species Composition||||||||Sporozoite Rate||||Resting Habit|||||||||
vecnet:z890rw823,"Impact of permethrin-treated bed nets on malaria, anemia, and growth in infants in an area of intense perennial malaria transmission in western Kenya",Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1992,1999,|Intervention Efficacy|||||||||||||||||||||Incidence||
vecnet:z890rw84n,Reduction of malaria during pregnancy by permethrin-treated bed nets in an area of intense perennial malaria transmission in western Kenya,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1992,1999,|Intervention Efficacy|||||||||||||||||||||Incidence||
vecnet:z890rw88r,Increased efficacy of sulfadoxine-pyrimethamine in the treatment of uncomplicated falciparum malaria among children with sickle cell trait in western Kenya,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1993,1997,|||||||||||||||||||||||Treatment Efficacy|
vecnet:z890rw90s,Treatment history and treatment dose are important determinants of sulfadoxine-pyrimethamine efficacy in children with uncomplicated malaria in western Kenya,Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1993,1997,|||||||||||||||||||||||Treatment Efficacy|
vecnet:z890rw980,Effect of Plasmodium falciparum on blood feeding behavior of naturally infected Anopheles mosquitoes in western Kenya,Kenya,Kisian| Kisumu District| Nyanza Province ,Anopheles gambie sl| Anopheles funestus,1988,1989,|||||||||||Sporozoite Rate|Blood Feeding Rate|||||Parity|||||||
vecnet:z890rx056,"Antibody responses to repetitive epitopes of the circumsporozoite protein, liver stage antigen-1, and merozoite surface protein-2 in infants residing in a Plasmodium falciparum-hyperendemic area of western Kenya. XIII. Asembo Bay Cohort Project",Kenya,Asembo Bay| Bondo | Siaya District| Nyanza Province,,1993,1993,|||||||||||||||||||||Prevalence|||
